month,anemone,zub,symb.status,target.temp.fac,avg.temp,prot.ug.anemone,symb.cells.anemone,symb.per.prot,totalchl.ug.anemone,totalchl.ug.symb,totalchl.ug.ugprot,nonsymb.pHi.med,symb.pHi.med,GP.umol.ug.hr,R.umol.ug.hr,host.13C.percent,symb.13C.percent,temp
May,10A,10,apo,25,25.05,61.87048001,181.8892024,2.939838229,0,0,0,7.378877523,NA,0.000601062,0.000896259,NA,NA,25.00
May,10B,10,apo,25,25.05,91.39974257,194.0151492,2.122710018,0,0,0,NA,NA,-0.000517945,0.00066079,NA,NA,25.00
May,11A,11,apo,25,25.05,172.6891133,169.7632556,0.98305708,0,0,0,7.687548801,NA,-0.000296371,0.000611573,NA,NA,25.00
May,11B,11,apo,25,25.05,147.6890333,424.4081389,2.873660483,0.093958333,0.00063619,0.00063619,NA,NA,-0.000348651,5.28E-06,NA,NA,25.00
May,12A,12,apo,25,25.05,52.33774,157.6373087,3.011924258,0,0,0,7.544597317,NA,0.000456038,0.001270441,NA,NA,25.00
May,12B,12,apo,25,25.05,94.96293361,1006.453875,10.59838652,0,0,0,NA,NA,8.23E-05,0.000279899,NA,NA,25.00
May,13A,13,apo,31,29.78,144.4281533,388.0302984,2.686666619,0,0,0,7.395665092,NA,-0.002184048,0.001385962,NA,NA,31.00
May,13B,13,apo,31,29.78,90.12088758,278.896777,3.094696296,0,0,0,NA,NA,-0.000213913,0.001779343,NA,NA,31.00
May,14A,14,apo,31,29.78,92.68281226,157.6373087,1.700825697,0,0,0,7.403681697,NA,7.12E-07,0.004588941,NA,NA,31.00
May,14B,14,apo,31,29.78,78.5531754,291.0227238,3.704786246,0.1978125,0.002518199,0.002518199,NA,NA,0.013707937,0.000679642,NA,NA,31.00
May,15A,15,apo,31,29.78,36.2831345,181.8892024,5.013050964,0,0,0,7.425661228,NA,0.003253578,0.005034736,NA,NA,31.00
May,15B,15,apo,31,29.78,47.7904616,485.037873,10.1492611,0.142708333,0.002986126,0.002986126,NA,NA,-0.000882477,0.003807371,NA,NA,31.00
May,16A,16,apo,31,29.78,74.9759586,594.1713945,7.924825579,0,0,0,7.337771223,NA,0.001273288,0.008907015,NA,NA,31.00
May,16B,16,apo,31,29.78,70.87719333,448.6600325,6.330104388,0.1653125,0.002332379,0.002332379,NA,NA,0.00158903,0.003457755,NA,NA,31.00
May,17A,17,sym,27,26.92,182.6791,1036643.428,5674.669009,0.380104167,0.002080721,0.002080721,7.270599243,7.226182408,0.004391997,0.010225965,1.10824075,1.1231357,27.00
May,17B,17,sym,27,26.92,235.4811457,820293.1643,3483.477039,1.019479167,0.004329345,0.004329345,NA,NA,0.003615602,0.009018939,NA,NA,27.00
