cohort,date,zub,1cm.standard.pixels,oraldisk.diameter.pixels,oraldisk.diameter.cm,symb.status
HD,20220517,17,146.86,30,0.204276181,sym
HD,20220517,17,146.86,62.61,0.426324391,sym
HD,20220517,17,146.86,38.471,0.261956966,sym
HD,20220517,17,146.86,57.271,0.389970039,sym
HD,20220517,18,131.59,22.472,0.170772855,sym
HD,20220517,18,131.59,26.926,0.204620412,sym
HD,20220517,18,131.59,44.011,0.334455506,sym
HD,20220517,18,131.59,33.015,0.250892925,sym
HD,20220517,19,127.028,30,0.236168404,sym
HD,20220517,19,127.028,38.626,0.304074692,sym
HD,20220517,19,127.028,31.623,0.248945114,sym
HD,20220517,19,127.028,36.222,0.285149731,sym
HD,20220517,20,127.264,23.409,0.18394047,sym
HD,20220517,20,127.264,40.792,0.320530551,sym
HD,20220517,20,127.264,38.21,0.300242017,sym
HD,20220517,20,127.264,50.636,0.397881569,sym
HD,20220517,21,137.615,16.553,0.120284853,sym
HD,20220517,21,137.615,44.181,0.321047851,sym
HD,20220517,21,137.615,31,0.225266141,sym
HD,20220517,21,137.615,38.013,0.276227155,sym
HD,20220517,22,136.308,45.706,0.335314142,sym
HD,20220517,22,136.308,32.558,0.23885612,sym
HD,20220517,22,136.308,51.546,0.378158289,sym
HD,20220517,22,136.308,19.723,0.144694369,sym
HD,20220517,23,133.135,24.331,0.182754347,sym
HD,20220517,23,133.135,32.573,0.244661434,sym
HD,20220517,23,133.135,39.013,0.293033387,sym
HD,20220517,23,133.135,28.071,0.210846134,sym
HD,20220517,24,130.599,42.048,0.321962649,sym
HD,20220517,24,130.599,36.056,0.276081746,sym
HD,20220517,24,130.599,46.043,0.35255247,sym
HD,20220517,24,130.599,34.234,0.262130644,sym
HD,20220517,25,122.016,44.045,0.360977249,sym
HD,20220517,25,122.016,50,0.409782324,sym
HD,20220517,25,122.016,44.181,0.362091857,sym
HD,20220517,25,122.016,42.426,0.347708497,sym
HD,20220517,26,129.63,34.059,0.262740106,sym
HD,20220517,26,129.63,46.174,0.356198411,sym
HD,20220517,26,129.63,38.833,0.299568001,sym
HD,20220517,26,129.63,18.439,0.142243308,sym
HD,20220517,27,134.536,28,0.208122733,sym
HD,20220517,27,134.536,34,0.252720461,sym
HD,20220517,27,134.536,34.928,0.259618243,sym
HD,20220517,27,134.536,24.083,0.179007849,sym
HD,20220517,28,127.562,29.53,0.231495273,sym
HD,20220517,28,127.562,17.889,0.140237688,sym
HD,20220517,28,127.562,32.249,0.252810398,sym
HD,20220517,29,124.258,32.802,0.263983003,sym
