anemone,zubID,symb.status,target.temp,prot.ug.anemone
10A,10,apo,25,61.87048
10B,10,apo,25,91.3997426
11A,11,apo,25,172.689113
11B,11,apo,25,147.689033
12A,12,apo,25,52.33774
12B,12,apo,25,94.9629336
13A,13,apo,31,144.428153
13B,13,apo,31,90.1208876
14A,14,apo,31,92.6828123
14B,14,apo,31,78.5531754
15A,15,apo,31,36.2831345
15B,15,apo,31,47.7904616
16A,16,apo,31,74.9759586
16B,16,apo,31,70.8771933
17A,17,sym,27,182.6791
17B,17,sym,27,235.481146
18A,18,sym,27,156.806009
18B,18,sym,27,184.283353
19A,19,sym,27,114.597453
19B,19,sym,27,224.138553
1A,1,apo,27,85.8043066
1B,1,apo,27,113.993273
20A,20,sym,27,283.559033
20B,20,sym,27,220.186476
21A,21,sym,29,92.6828123
21B,21,sym,29,215.835072
22A,22,sym,29,163.268793
22B,22,sym,29,232.981224
23A,23,sym,29,90.3763214
23B,23,sym,29,99.1082484
24A,24,sym,29,158.038007
24B,24,sym,29,180.077602
25A,25,sym,25,145.141025
25B,25,sym,25,295.153273
26A,26,sym,25,148.413673
26B,26,sym,25,180.660153
27A,27,sym,25,136.023522
27B,27,sym,25,154.210793
28A,28,sym,25,215.855012
28B,28,sym,25,204.731516
29A,29,sym,31,262.544473
29B,29,sym,31,196.964553
2A,2,apo,27,112.181673
2B,2,apo,27,112.496072
30A,30,sym,31,233.921193
30B,30,sym,31,175.575218
31A,31,sym,31,264.356073
31B,31,sym,31,112.208823
32A,32,sym,31,140.245512
32B,32,sym,31,134.548464
3A,3,apo,27,118.341113
3B,3,apo,27,155.297753
4A,4,apo,27,64.000965
4B,4,apo,27,83.2879007
5A,5,apo,29,94.3680502
5B,5,apo,29,57.6504769
6A,6,apo,29,56.2559476
6B,6,apo,29,55.7924532
7A,7,apo,29,59.6452733
7B,7,apo,29,99.6977406
8A,8,apo,29,73.0511133
8B,8,apo,29,139.355673
9A,9,apo,25,156.747033
9B,9,apo,25,99.1082484
