Target.temp,month,Day,Cohort,N,Zub_temp,sd,se,ci
25,Feb,1,LD,26,23.21793056,0.107846266,0.021150393,0.04356005
25,Feb,2,LD,48,23.21192869,0.103784143,0.014979951,0.030135774
25,Feb,3,LD,48,23.08471133,0.186216583,0.026878049,0.054071659
25,Feb,4,LD,48,23.33250994,0.517451504,0.074687691,0.150252254
25,Feb,5,LD,48,24.19832661,0.476184919,0.068731373,0.138269687
25,Feb,6,LD,48,24.88548807,0.091082532,0.013146631,0.02644761
25,Feb,7,LD,48,24.89031793,0.092783282,0.013392113,0.026941457
25,Feb,8,LD,48,24.89790265,0.106758199,0.015409219,0.03099935
25,Feb,9,LD,48,24.89505717,0.095763428,0.01382226,0.027806801
25,Feb,10,LD,48,24.89355925,0.112161202,0.016189075,0.032568218
25,Feb,11,LD,48,24.88975682,0.097095308,0.0140145,0.028193538
25,Feb,12,LD,48,24.89121029,0.092280619,0.01331956,0.026795498
25,Feb,13,LD,48,24.89511758,0.092566386,0.013360807,0.026878477
25,Feb,14,LD,48,24.89352453,0.090543935,0.013068891,0.026291218
25,Feb,15,LD,48,24.89356342,0.093315381,0.013468915,0.027095962
25,Feb,16,LD,48,24.88834085,0.089505132,0.012918953,0.025989581
25,Feb,17,LD,48,24.88694606,0.087115601,0.012574054,0.025295734
25,Feb,18,LD,48,24.88145196,0.086937974,0.012548416,0.025244156
25,May,1,HD,48,25.99882378,0.311199666,0.044917803,0.090362964
25,May,2,HD,48,25.22331058,0.163260125,0.023564569,0.047405799
25,May,3,HD,48,25.70219704,1.046158722,0.151000005,0.303772828
25,May,4,HD,48,24.63028437,0.647306777,0.093430685,0.187958295
25,May,5,HD,48,24.95439322,0.06812137,0.009832473,0.019780384
25,May,6,HD,48,24.94356406,0.073096682,0.010550597,0.021225064
25,May,7,HD,48,24.93639426,0.06596655,0.009521451,0.019154689
25,May,8,HD,48,24.95107378,0.074332841,0.010729021,0.021584007
25,May,9,HD,48,24.94649357,0.072164638,0.010416068,0.020954427
25,May,10,HD,48,24.95221336,0.07385895,0.010660621,0.021446404
25,May,11,HD,48,24.95580157,0.097375989,0.014055013,0.02827504
25,May,12,HD,48,24.96858142,0.084349441,0.012174793,0.024492525
25,May,13,HD,48,24.96233385,0.076440117,0.011033181,0.022195896
25,May,14,HD,48,24.96439461,0.097136314,0.014020419,0.028205445
25,May,15,HD,48,24.97345919,0.094780112,0.013680331,0.027521276
27,Feb,1,LD,26,23.79753304,0.108892164,0.02135551,0.043982497
27,Feb,2,LD,46,24.33185375,0.520005195,0.076670583,0.154422481
27,Feb,3,LD,48,24.80746768,0.115223932,0.016631142,0.033457542
