Day,Status,Target.temp,edhw,Cohort
0,apo,25,0,Low-Density
0,apo,27,0,Low-Density
0,apo,29,0,Low-Density
0,apo,31,0,Low-Density
1,apo,25,0,Low-Density
1,apo,27,0,Low-Density
1,apo,29,0,Low-Density
1,apo,31,0,Low-Density
2,apo,25,0,Low-Density
2,apo,27,0,Low-Density
2,apo,29,0,Low-Density
2,apo,31,0,Low-Density
3,apo,25,0,Low-Density
3,apo,27,0,Low-Density
3,apo,29,0,Low-Density
3,apo,31,0,Low-Density
4,apo,25,0,Low-Density
4,apo,27,0,Low-Density
4,apo,29,0.258504423,Low-Density
4,apo,31,0.272003857,Low-Density
5,apo,25,0,Low-Density
5,apo,27,0,Low-Density
5,apo,29,0.611054021,Low-Density
5,apo,31,0.663927853,Low-Density
6,apo,25,0,Low-Density
6,apo,27,0,Low-Density
6,apo,29,1.04090114,Low-Density
6,apo,31,1.182738456,Low-Density
7,apo,25,0,Low-Density
7,apo,27,0,Low-Density
7,apo,29,1.458504211,Low-Density
7,apo,31,1.804027184,Low-Density
8,apo,25,0,Low-Density
8,apo,27,0,Low-Density
8,apo,29,1.868989029,Low-Density
8,apo,31,2.426398303,Low-Density
9,apo,25,0,Low-Density
9,apo,27,0,Low-Density
9,apo,29,2.287593886,Low-Density
9,apo,31,3.051540256,Low-Density
10,apo,25,0,Low-Density
10,apo,27,0,Low-Density
10,apo,29,2.711460647,Low-Density
10,apo,31,3.673751206,Low-Density
11,apo,25,0,Low-Density
11,apo,27,0.196756081,Low-Density
11,apo,29,3.148856576,Low-Density
11,apo,31,4.287855906,Low-Density
12,apo,25,0,Low-Density
12,apo,27,0.399942867,Low-Density
12,apo,29,3.569376016,Low-Density
12,apo,31,4.908303661,Low-Density
13,apo,25,0,Low-Density
13,apo,27,0.399942867,Low-Density
13,apo,29,3.978489206,Low-Density
13,apo,31,5.53341238,Low-Density
14,apo,25,0,Low-Density
14,apo,27,0.399942867,Low-Density
14,apo,29,4.375420054,Low-Density
14,apo,31,6.143642726,Low-Density
15,apo,25,0,Low-Density
15,apo,27,0.399942867,Low-Density
15,apo,29,4.7183628,Low-Density
16,apo,25,0,Low-Density
16,apo,27,0.399942867,Low-Density
17,apo,25,0,Low-Density
